Entry	CBB_01	CBB_02	CBB_03	rGlyP_07	rGlyP_08	rGlyP_09	CBB_UP_01	CBB_UP_02	CBB_UP_03	rGlyP_UP_07	rGlyP_UP_08	rGlyP_UP_09	CBB_01_imputado	CBB_02_imputado	CBB_03_imputado	rGlyP_07_imputado	rGlyP_08_imputado	rGlyP_09_imputado	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (GO)	Gene Ontology (molecular function)	Gene Ontology IDs	KEGG	log2FC	p_value	neg_log10_p	p_adj_fdr	regulate	color
Q0K2B7	21.484391843512743	21.494750977411886	21.70989333102971	21.53945843229628	21.740553597971395	21.63142769367434	2	2	2	2	2	2	No	No	No	No	No	No	Q0K2B7_CUPNH	Transcriptional regulator	H16_B1066 E6A55_24580	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	277	glycolytic process [GO:0006096]		carbohydrate derivative binding [GO:0097367]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; glycolytic process [GO:0006096]	carbohydrate derivative binding [GO:0097367]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	GO:0003677; GO:0003700; GO:0006096; GO:0097367	reh:H16_B1066	0.07413452399588749	0.4731246046642456	0.25877143771570915	0.5510976540362861	no_keep	gray
Q0K2C1	23.051148689308164	21.22480368892245	21.069035782592277	22.129907603969524	20.501927767578188	21.654927676924313	2	2	2	2	2	3	No	No	No	No	No	No	Q0K2C1_CUPNH	Error-prone DNA polymerase (EC 2.7.7.7)	dnaE2 H16_B1062 E6A55_24560	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	1136	DNA repair [GO:0006281]; DNA replication [GO:0006260]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; 3'-5' exonuclease activity [GO:0008408]; DNA-directed DNA polymerase activity [GO:0003887]; nucleic acid binding [GO:0003676]; DNA repair [GO:0006281]; DNA replication [GO:0006260]	3'-5' exonuclease activity [GO:0008408]; DNA-directed DNA polymerase activity [GO:0003887]; nucleic acid binding [GO:0003676]	GO:0003676; GO:0003887; GO:0005737; GO:0006260; GO:0006281; GO:0008408	reh:H16_B1062	-0.35274170411695493	0.6817160640264492	0.1286484862295354	0.7436207738763846	no_keep	gray
Q0K2C5	21.049996021409928	20.739193145274204	21.048441355664053	20.933478239807407	21.139420215527306	21.213355633747497	2	2	2	2	2	2	No	No	No	No	No	No	Q0K2C5_CUPNH	Type II toxin-antitoxin system HipA family toxin (Uncharacterized protein related to capsule biosynthesis enzymes)	H16_B1058 E6A55_24540	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	439		cytosol [GO:0005829]	cytosol [GO:0005829]; protein serine/threonine kinase activity [GO:0004674]	protein serine/threonine kinase activity [GO:0004674]	GO:0004674; GO:0005829	reh:H16_B1058	0.14954118891134272	0.32379334958374323	0.39445558785650636	0.4032221789398236	no_keep	gray
Q0K2E8	20.401183824139764	20.775592095010275	20.835860782325756	22.113892549413567	22.166983583455867	22.01094614277124	2	2	2	4	4	4	No	No	No	No	No	No	Q0K2E8_CUPNH	Transcriptional regulator	H16_B1035 E6A55_24420	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	341		cytosol [GO:0005829]	cytosol [GO:0005829]; DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]	DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]	GO:0000976; GO:0003700; GO:0005829	reh:H16_B1035	1.4263951913882913	0.00057482589695427	2.4793800961909414	0.003316041093299435	upregulate	red
Q0K2F8	21.34212287694592	20.636090803030775	20.610440970293535	22.595149818705337	22.185445474367377	22.36624773153134	2	2	2	2	2	2	No	No	No	No	No	No	Q0K2F8_CUPNH	Ubiquinol oxidase subunit 2	cyoA3 cyoA H16_B1025 E6A55_24370	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	349	ATP synthesis coupled electron transport [GO:0042773]	periplasmic space [GO:0042597]; plasma membrane [GO:0005886]	periplasmic space [GO:0042597]; plasma membrane [GO:0005886]; copper ion binding [GO:0005507]; cytochrome bo3 ubiquinol oxidase activity [GO:0009486]; cytochrome-c oxidase activity [GO:0004129]; oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor [GO:0016682]; ATP synthesis coupled electron transport [GO:0042773]	copper ion binding [GO:0005507]; cytochrome bo3 ubiquinol oxidase activity [GO:0009486]; cytochrome-c oxidase activity [GO:0004129]; oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor [GO:0016682]	GO:0004129; GO:0005507; GO:0005886; GO:0009486; GO:0016682; GO:0042597; GO:0042773	reh:H16_B1025	1.5193961247779413	0.004738110206443657	1.8325445009702226	0.014704677328695003	upregulate	red
Q0K2G4	21.693975459959507	21.9918515136427	22.129361660870867	22.92548032808391	22.89962781348888	22.84192223035268	3	4	4	5	5	5	No	No	No	No	No	No	Q0K2G4_CUPNH	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk ppk1 ppk2 H16_B1019 E6A55_24340	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	711	polyphosphate biosynthetic process [GO:0006799]	polyphosphate kinase complex [GO:0009358]	polyphosphate kinase complex [GO:0009358]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; polyphosphate kinase activity [GO:0008976]; polyphosphate biosynthetic process [GO:0006799]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; polyphosphate kinase activity [GO:0008976]	GO:0005524; GO:0006799; GO:0008976; GO:0009358; GO:0046872	reh:H16_B1019	0.9506139124841333	0.001906528999107342	2.1190335706088566	0.007602675066112475	no_keep	gray
Q0K2G7	21.70650302772623	21.99792066632083	22.156749124289185	23.184476321518954	23.24221200922838	23.089226141497036	1	2	2	2	2	2	No	No	No	No	No	No	Q0K2G7_CUPNH	Isocitrate dehydrogenase [NAD] (EC 1.1.1.41) (NAD-dependent isocitrate dehydrogenase)	icd3 H16_B1016 E6A55_24320	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	346	isocitrate metabolic process [GO:0006102]; tricarboxylic acid cycle [GO:0006099]		isocitrate dehydrogenase (NAD+) activity [GO:0004449]; magnesium ion binding [GO:0000287]; NAD binding [GO:0051287]; isocitrate metabolic process [GO:0006102]; tricarboxylic acid cycle [GO:0006099]	isocitrate dehydrogenase (NAD+) activity [GO:0004449]; magnesium ion binding [GO:0000287]; NAD binding [GO:0051287]	GO:0000287; GO:0004449; GO:0006099; GO:0006102; GO:0051287	reh:H16_B1016	1.2182472179693669	0.0009389661898127561	2.3270389351402905	0.004709351044782534	upregulate	red
Q0K2H5	23.335916383201756	23.442524428180608	23.66042177804469	23.303729933252292	23.462965822443344	23.372155066289388	3	3	2	4	5	4	No	No	No	No	No	No	Q0K2H5_CUPNH	Alkylphosphonate uptake (Alkylphosphonate utilization protein)	H16_B1008 E6A55_24270	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	113						reh:H16_B1008	-0.10000392248068124	0.39907391769944445	0.3178866993207922	0.48096480832563104	no_keep	gray
Q0K2I3	21.216834432990034	21.56767131237234	21.39627082989918	22.068273621819024	21.91688324318624	21.948442071424463	1	4	2	6	7	6	No	No	No	No	No	No	Q0K2I3_CUPNH	Methanethiol oxidase (EC 1.8.3.4)	H16_B1000 E6A55_24230	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	468			methanethiol oxidase activity [GO:0018549]; selenium binding [GO:0008430]	methanethiol oxidase activity [GO:0018549]; selenium binding [GO:0008430]	GO:0008430; GO:0018549	reh:H16_B1000	0.5842741203893951	0.006297053159071518	1.7467759062011443	0.017915300361919843	no_keep	gray
Q0K2J0	22.96298332124576	22.7828944422357	22.509354015150553	22.59127314558066	22.342960212576735	22.35791282546258	5	6	4	3	4	6	No	No	No	No	No	No	Q0K2J0_CUPNH	Transcriptional regulator	H16_B0993 E6A55_24195	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	148			DNA binding [GO:0003677]	DNA binding [GO:0003677]	GO:0003677	reh:H16_B0993	-0.32102853167067735	0.10619670959728261	0.7890119557641981	0.16255040063674767	no_keep	gray
Q0K2J2	21.87142325038552	21.928239318816036	21.923836682403817	22.928826246883443	22.977377690000846	23.05170007185855	1	1	1	3	3	2	No	No	No	No	No	No	Q0K2J2_CUPNH	Probable extra-cytoplasmic solute receptor	H16_B0991	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	328						reh:H16_B0991	1.078134919045823	1.140043725747762e-05	3.544868062157952	0.0002851884533038565	upregulate	red
Q0K2J3	23.157587185739224	23.071672812925904	22.88176686020141	22.3976392422794	22.180633313522467	22.1890281551154	6	5	5	5	3	4	No	No	No	No	No	No	Q0K2J3_CUPNH	Cupin domain-containing protein (Putative mannose-6-phosphate isomerase)	H16_B0990 E6A55_24180	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	253			isomerase activity [GO:0016853]	isomerase activity [GO:0016853]	GO:0016853	reh:H16_B0990	-0.7812420493164254	0.0019421367315537446	2.1121821628015245	0.007723565557772998	no_keep	gray
Q0K2J4	21.450626793134	21.42364075613356	20.722271889754555	21.33280719739627	21.293084585724404	21.227069506784336	2	2	2	2	1	2	No	No	No	No	No	No	Q0K2J4_CUPNH	GntR family transcriptional regulator (Transcriptional regulator, GntR-family)	H16_B0989 E6A55_24175	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	275	negative regulation of DNA-templated transcription [GO:0045892]		DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; negative regulation of DNA-templated transcription [GO:0045892]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	GO:0003677; GO:0003700; GO:0045892	reh:H16_B0989	0.0854739502943005	0.7401364258923554	0.10066122966857294	0.793119760345002	no_keep	gray
Q0K2J5	23.829236514266658	23.7043012173428	23.554450510347277	23.603411268351135	23.54533376845364	23.482647910267197	8	8	7	7	7	7	No	No	No	No	No	No	Q0K2J5_CUPNH	DUF1446 domain-containing protein	H16_B0988 E6A55_24170	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	593						reh:H16_B0988	-0.15219843162825697	0.1542101314231392	0.6569213643586654	0.220332537260961	no_keep	gray
Q0K2J7	22.299797804396743	22.216660007274378	22.124323578381773	22.445448724868996	22.314030541984575	22.246910318174688	5	5	4	6	3	3	No	No	No	No	No	No	Q0K2J7_CUPNH	CoA transferase (CoA-transferase family III)	H16_B0986 E6A55_24160	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	416			CoA-transferase activity [GO:0008410]	CoA-transferase activity [GO:0008410]	GO:0008410	reh:H16_B0986	0.12186939832512422	0.1898048511719537	0.584021856948422	0.26060223921492603	no_keep	gray
Q0K2J9	22.997487154504327	22.98470022691639	22.68000624665364	23.12447021327781	22.994612536436907	22.98484616409932	5	5	5	5	5	5	No	No	No	No	No	No	Q0K2J9_CUPNH	Gamma-glutamyltransferase 2 (EC 2.3.2.2) (Gamma-glutamyltransferase family protein)	ggt2c H16_B0984 E6A55_24150	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	529			leukotriene C4 gamma-glutamyl transferase activity [GO:0103068]	leukotriene C4 gamma-glutamyl transferase activity [GO:0103068]	GO:0103068	reh:H16_B0984	0.1472450952465607	0.2628615272660491	0.4701070844737087	0.33876061725810036	no_keep	gray
Q0K2K1	23.487269533809048	23.224278600162332	22.905185589689484	22.950888190259196	22.664321889625057	22.621591712712036	4	3	3	4	3	2	No	No	No	No	No	No	Q0K2K1_CUPNH	NAD-dependent succinate-semialdehyde dehydrogenase (Succinate-semialdehyde dehydrogenase (NADP+) (EC 1.2.1.16))	gabD1 H16_B0982 E6A55_24140	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	483	gamma-aminobutyric acid catabolic process [GO:0009450]	cytosol [GO:0005829]	cytosol [GO:0005829]; succinate-semialdehyde dehydrogenase (NAD+) activity [GO:0004777]; gamma-aminobutyric acid catabolic process [GO:0009450]	succinate-semialdehyde dehydrogenase (NAD+) activity [GO:0004777]	GO:0004777; GO:0005829; GO:0009450	reh:H16_B0982	-0.45997731035485856	0.08035125123737225	0.8868957621958187	0.12974906526677998	no_keep	gray
Q0K2K2	21.477167064329016	19.604758254417327	21.124534797738324	22.966537816149344	22.617973171633157	22.4491022984877	1	1	2	3	3	3	No	No	No	No	No	No	Q0K2K2_CUPNH	4-Aminobutyrate aminotransferase (4-aminobutyrate--2-oxoglutarate transaminase (EC 2.6.1.19))	gabT H16_B0981 E6A55_24135	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	423	gamma-aminobutyric acid metabolic process [GO:0009448]		4-aminobutyrate:2-oxoglutarate transaminase activity [GO:0034386]; identical protein binding [GO:0042802]; pyridoxal phosphate binding [GO:0030170]; gamma-aminobutyric acid metabolic process [GO:0009448]	4-aminobutyrate:2-oxoglutarate transaminase activity [GO:0034386]; identical protein binding [GO:0042802]; pyridoxal phosphate binding [GO:0030170]	GO:0009448; GO:0030170; GO:0034386; GO:0042802	reh:H16_B0981	1.9423843899285096	0.03083891921815951	1.2135745656674348	0.06115407961807582	upregulate	red
Q0K2K4	21.560111812679008	22.058953451805632	22.46465729326996	22.756637807443852	23.00402395110004	22.795376258173608	2	2	2	3	3	2	No	No	No	No	No	No	Q0K2K4_CUPNH	Uncharacterized protein	H16_B0979 E6A55_24125	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	113						reh:H16_B0979	0.8241051529876344	0.03905521263848067	1.1304777692958747	0.07404951710127085	no_keep	gray
Q0K2K7	24.6542614943542	24.791259738111943	24.61962173911215	24.65956183430535	24.662980048086062	24.58489817942847	8	7	8	8	7	6	No	No	No	No	No	No	Q0K2K7_CUPNH	Activator of osmoprotectant transporter	H16_B0976 E6A55_24110	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	187	post-transcriptional regulation of gene expression [GO:0010608]	cytosol [GO:0005829]	cytosol [GO:0005829]; RNA strand annealing activity [GO:0033592]; RNA strand-exchange activity [GO:0034057]; post-transcriptional regulation of gene expression [GO:0010608]	RNA strand annealing activity [GO:0033592]; RNA strand-exchange activity [GO:0034057]	GO:0005829; GO:0010608; GO:0033592; GO:0034057	reh:H16_B0976	-0.0525676365861365	0.4179742318988947	0.30100622299451424	0.5000273700462597	no_keep	gray
Q0K2L2	21.83356926590895	21.591790745387403	21.75653964549473	22.634777304463267	22.49685628036668	22.578951713578572	6	5	6	6	7	7	No	No	No	No	No	No	Q0K2L2_CUPNH	Bifunctional 3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase (FAD-dependent monooxygenase)	H16_B0971 E6A55_24085	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	552	3-(3-hydroxy)phenylpropionate catabolic process [GO:0019622]		3-(3-hydroxyphenyl)propionate hydroxylase activity [GO:0008688]; FAD binding [GO:0071949]; 3-(3-hydroxy)phenylpropionate catabolic process [GO:0019622]	3-(3-hydroxyphenyl)propionate hydroxylase activity [GO:0008688]; FAD binding [GO:0071949]	GO:0008688; GO:0019622; GO:0071949	reh:H16_B0971	0.842895213872481	0.00050010753362905	2.520547869839421	0.0030161444021966875	no_keep	gray
Q0K2L6	21.99929764920124	22.370238118100534	22.36540832295315	22.99403290147648	23.106976912242335	22.71409840544674	3	2	3	3	3	3	No	No	No	No	No	No	Q0K2L6_CUPNH	Transcriptional regulator	H16_B0967 E6A55_24065	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	307			DNA-binding transcription factor activity [GO:0003700]	DNA-binding transcription factor activity [GO:0003700]	GO:0003700	reh:H16_B0967	0.6933880429702128	0.014964816359655296	1.4481489032758381	0.03563289406614652	no_keep	gray
Q0K2M2	26.44001438755152	26.317252874696617	26.104113687494877	21.535544921471857	21.6335967910508	22.02862964552884	9	9	9	2	2	3	No	No	No	No	No	No	Q0K2M2_CUPNH	Pyruvate kinase (EC 2.7.1.40)	pyk3 pyk H16_B0961 E6A55_24035	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	472			ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; potassium ion binding [GO:0030955]; pyruvate kinase activity [GO:0004743]	ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; potassium ion binding [GO:0030955]; pyruvate kinase activity [GO:0004743]	GO:0000287; GO:0004743; GO:0005524; GO:0016301; GO:0030955	reh:H16_B0961	-4.554536530563837	1.4433196417059245e-05	3.480439885375118	0.00033079589734065994	downregulate	blue
Q0K2M4	20.59951009592861	21.109618884742662	21.473939977294418	19.787574292508857	19.615879743120104	19.824910281098095	3	3	3	2	2	2	No	No	No	No	No	No	Q0K2M4_CUPNH	Cytochrome c biogenesis factor	ccmH2 H16_B0959 E6A55_24025	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	345		plasma membrane [GO:0005886]	plasma membrane [GO:0005886]		GO:0005886	reh:H16_B0959	-1.3182348804128772	0.007289837365712099	1.6953005252113547	0.02016970167821196	downregulate	blue
Q0K2N7	28.006009395242582	27.96296893139118	28.11260794943559	28.073790150458105	28.32373689132099	28.27694701559287	13	14	14	14	14	14	No	No	No	No	No	No	Q0K2N7_CUPNH	Dyp-type peroxidase (Predicted iron-dependent peroxidase (EC 1.11.1.7))	H16_B0946 E6A55_23955	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	318		cytosol [GO:0005829]	cytosol [GO:0005829]; heme binding [GO:0020037]; lactoperoxidase activity [GO:0140825]; metal ion binding [GO:0046872]	heme binding [GO:0020037]; lactoperoxidase activity [GO:0140825]; metal ion binding [GO:0046872]	GO:0005829; GO:0020037; GO:0046872; GO:0140825	reh:H16_B0946	0.19762926043420492	0.08974459526355344	0.8489293301244558	0.141602418148277	no_keep	gray
Q0K2N8	22.953616170097803	23.009386036731684	22.990642415600412	23.638365417530036	23.721584169378783	23.60069231223484	5	8	7	7	7	8	No	No	No	No	No	No	Q0K2N8_CUPNH	Pyridine nucleotide-disulfide oxidoreductase (Pyridine nucleotide-disulphide oxidoreductase)	H16_B0945 E6A55_23950	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	510		cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; 2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on NAD(P)H [GO:0016651]	2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on NAD(P)H [GO:0016651]	GO:0005737; GO:0016651; GO:0046872; GO:0051537	reh:H16_B0945	0.6689990922379252	6.979450131181861e-05	3.077997298859987	0.0008356082153678931	no_keep	gray
Q0K2P1	25.2455020583302	24.98226570493467	24.819505517171052	24.54689761548774	24.361543496342954	24.44242838975296	4	5	5	4	4	4	No	No	No	No	No	No	Q0K2P1_CUPNH	Malate/L-lactate dehydrogenase (EC 1.1.1.-) (Malate/lactate/ureidoglycolate dehydrogenase)	H16_B0942 E6A55_23935	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	367			oxidoreductase activity [GO:0016491]	oxidoreductase activity [GO:0016491]	GO:0016491	reh:H16_B0942	-0.5654679262840858	0.013894103624771332	1.4750795145567794	0.03349041162733899	no_keep	gray
Q0K2P2	25.303409252858135	25.33068558739655	25.409585330339556	25.51166712137237	25.392197193315937	25.41335355243745	3	4	4	4	4	4	No	No	No	No	No	No	Q0K2P2_CUPNH	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60) (NAD-dependent beta-hydroxyacid dehydrogenase (EC 1.1.1.-))	H16_B0941 E6A55_23930	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	302	glyoxylate metabolic process [GO:0046487]; organic acid catabolic process [GO:0016054]		2-hydroxy-3-oxopropionate reductase activity [GO:0008679]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; glyoxylate metabolic process [GO:0046487]; organic acid catabolic process [GO:0016054]	2-hydroxy-3-oxopropionate reductase activity [GO:0008679]; NAD binding [GO:0051287]; NADP binding [GO:0050661]	GO:0008679; GO:0016054; GO:0046487; GO:0050661; GO:0051287	reh:H16_B0941	0.0911792321771685	0.13426820399719547	0.7056458016901868	0.1969491896823184	no_keep	gray
Q0K2P8	24.21960257404346	23.821055206085628	23.77252537362417	23.619202902345975	23.428637400951754	23.557933806963486	4	4	4	4	3	4	No	No	No	No	No	No	Q0K2P8_CUPNH	DUF2188 domain-containing protein	H16_B0935 E6A55_23900	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	90						reh:H16_B0935	-0.4024696811640105	0.05748885213732234	0.9997153303132631	0.10006556910485623	no_keep	gray
Q0K2Q3	25.13609229150242	25.149223059493753	25.078044890650933	25.000134523951232	24.82196130699762	24.906784222352673	11	12	12	11	12	12	No	No	No	No	No	No	Q0K2Q3_CUPNH	DUF2880 domain-containing protein	H16_B0930 E6A55_23875	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	121						reh:H16_B0930	-0.21149339611519125	0.019387775914544	1.3658332787661807	0.043069191700573765	no_keep	gray
Q0K2Q4	21.79645593784245	21.646337816337656	21.619769622099632	21.535816665586005	21.401859679432366	21.476494549944217	7	6	7	8	8	8	No	No	No	No	No	No	Q0K2Q4_CUPNH	GntR family transcriptional regulator (Transcriptional regulator, GntR-family)	H16_B0929 E6A55_23870	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	245	negative regulation of DNA-templated transcription [GO:0045892]		DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; negative regulation of DNA-templated transcription [GO:0045892]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	GO:0003677; GO:0003700; GO:0045892	reh:H16_B0929	-0.21613082710571518	0.03252320695210635	1.1945913517785152	0.06388643411386166	no_keep	gray
Q0K2Q7	20.81505081301288	21.033074845410663	20.802565181944583	21.301641696157937	21.344670449568454	21.448955600160307	2	2	2	2	3	3	No	No	No	No	No	No	Q0K2Q7_CUPNH	DUF1254 domain-containing protein	H16_B0926 E6A55_23855	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	438						reh:H16_B0926	0.48152563517285785	0.005140128484400694	1.8114581950346522	0.015436250047289738	no_keep	gray
Q0K2Q9	20.17897075403489	20.037279478499833	20.23445071375712	20.441355114669157	20.635621932313263	20.717570316856847	0	1	2	2	2	2	Si	No	No	No	No	No	Q0K2Q9_CUPNH	Probable extra-cytoplasmic solute receptor (Tripartite tricarboxylate transporter substrate binding protein)	H16_B0924 E6A55_23845	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	337						reh:H16_B0924	0.4479488058491441	0.011287784997577441	1.546240612310702	0.028428856262233432	no_keep	gray
Q0K2R0	22.362950836949754	22.216357406153143	21.89813931234469	22.72998003092501	22.571229077624817	22.61503372480285	1	2	1	2	1	1	No	No	No	No	No	No	Q0K2R0_CUPNH	Aminopeptidase P ( Xaa-Pro aminopeptidase) (EC 3.4.11.9) (Aminopeptidase P family protein)	pepP H16_B0923 E6A55_23840	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	396	proteolysis [GO:0006508]		aminopeptidase activity [GO:0004177]; metal ion binding [GO:0046872]; proteolysis [GO:0006508]	aminopeptidase activity [GO:0004177]; metal ion binding [GO:0046872]	GO:0004177; GO:0006508; GO:0046872	reh:H16_B0923	0.4795984259683621	0.029805157715518036	1.2236752420564787	0.05974819062683359	no_keep	gray
Q0K2R2	23.92774882951843	23.942978000235055	23.91866897809736	24.597971061210753	24.615920391453585	24.487144766159116	3	3	4	4	4	4	No	No	No	No	No	No	Q0K2R2_CUPNH	Flavodoxin	H16_B0920 E6A55_23825	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	163			FMN binding [GO:0010181]; oxidoreductase activity [GO:0016491]	FMN binding [GO:0010181]; oxidoreductase activity [GO:0016491]	GO:0010181; GO:0016491	reh:H16_B0920	0.6372134703242089	9.898570186135923e-05	2.980102520269242	0.001046881390338071	no_keep	gray
Q0K2R5	22.72342480445663	22.510438906748103	22.3527770129107	23.076939196683767	23.08317275254323	23.173153126708826	3	4	4	5	5	5	No	No	No	No	No	No	Q0K2R5_CUPNH	Lipid A biosynthesis lauroyl acyltransferase (EC 2.3.1.-)	H16_B0917 E6A55_23805	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	292	glycolipid biosynthetic process [GO:0009247]	plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; acyltransferase activity [GO:0016746]; glycolipid biosynthetic process [GO:0009247]	acyltransferase activity [GO:0016746]	GO:0005886; GO:0009247; GO:0016746	reh:H16_B0917	0.582208117273467	0.006482653735591526	1.7376088078255352	0.018297476252324335	no_keep	gray
